crime_type,latitude,longitude,geometry
CRIMINAL TRESPASS,41.798610712,-87.669572024,POINT (-87.669572024 41.798610712)
SEX OFFENSE,41.796826631,-87.669520755,POINT (-87.669520755 41.796826631)
NARCOTICS,41.813187768,-87.669949774,POINT (-87.669949774 41.813187768)
ASSAULT,41.794061805,-87.662676999,POINT (-87.662676999 41.794061805)
NARCOTICS,,,POINT EMPTY
ROBBERY,41.794008041,-87.666168707,POINT (-87.666168707 41.794008041)
BATTERY,41.802264774,-87.666028047,POINT (-87.666028047 41.802264774)
MOTOR VEHICLE THEFT,41.794822731,-87.645172774,POINT (-87.645172774 41.794822731)
OFFENSE INVOLVING CHILDREN,41.807810552,-87.667375326,POINT (-87.667375326 41.807810552)
DECEPTIVE PRACTICE,41.795423376,-87.652482514,POINT (-87.652482514 41.795423376)
BATTERY,41.79388344,-87.677413527,POINT (-87.677413527 41.79388344)
CRIMINAL TRESPASS,41.813441214,-87.666326566,POINT (-87.666326566 41.813441214)
NARCOTICS,41.801355133,-87.645341277,POINT (-87.645341277 41.801355133)
NARCOTICS,41.811698957,-87.66261777,POINT (-87.66261777 41.811698957)
OTHER OFFENSE,41.797169487,-87.641583005,POINT (-87.641583005 41.797169487)
HOMICIDE,41.793936717,-87.672344957,POINT (-87.672344957 41.793936717)
INTERFERENCE WITH PUBLIC OFFICER,41.804954706,-87.665648027,POINT (-87.665648027 41.804954706)
OTHER OFFENSE,41.806392948,-87.660046916,POINT (-87.660046916 41.806392948)
NARCOTICS,41.794708258,-87.674324659,POINT (-87.674324659 41.794708258)
ASSAULT,41.802450827,-87.648678121,POINT (-87.648678121 41.802450827)
NARCOTICS,41.80794058,-87.683854155,POINT (-87.683854155 41.80794058)
MOTOR VEHICLE THEFT,41.819027613,-87.665219378,POINT (-87.665219378 41.819027613)
HOMICIDE,41.798986504,-87.641633145,POINT (-87.641633145 41.798986504)
WEAPONS VIOLATION,41.813570499,-87.668746294,POINT (-87.668746294 41.813570499)
PUBLIC PEACE VIOLATION,41.795319727,-87.660976952,POINT (-87.660976952 41.795319727)
THEFT,41.809860998,-87.645565723,POINT (-87.645565723 41.809860998)
NARCOTICS,41.801304251,-87.666496462,POINT (-87.666496462 41.801304251)
PROSTITUTION,41.814830121,-87.644980651,POINT (-87.644980651 41.814830121)
BATTERY,41.809892187,-87.639344334,POINT (-87.639344334 41.809892187)
BATTERY,41.799856639,-87.675779256,POINT (-87.675779256 41.799856639)
OTHER OFFENSE,41.823150651,-87.672055581,POINT (-87.672055581 41.823150651)
PUBLIC PEACE VIOLATION,41.795042507,-87.660968848,POINT (-87.660968848 41.795042507)
MOTOR VEHICLE THEFT,41.793949358,-87.671204338,POINT (-87.671204338 41.793949358)
ASSAULT,41.797181898,-87.668314197,POINT (-87.668314197 41.797181898)
CRIMINAL TRESPASS,41.798578973,-87.668354764,POINT (-87.668354764 41.798578973)
PUBLIC PEACE VIOLATION,41.808687359,-87.658676732,POINT (-87.658676732 41.808687359)
CRIMINAL TRESPASS,41.798488017,-87.665920533,POINT (-87.665920533 41.798488017)
